"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11"
"ProMono.like.Top250",17.4080168293712,1.80226413042004,NA,2.56562101242387,NA,NA,NA,NA,NA,NA,NA
"ProMono.like.Top100",9.35132477368742,1.92105792287411,NA,1.37552210784423,NA,NA,NA,NA,NA,NA,NA
"Mono3",NA,14.229806831946,NA,NA,1.88330520011872,NA,4.30566146678326,NA,NA,NA,NA
"cDC.like.Top250",NA,8.52710395421877,NA,NA,NA,NA,7.14226531760774,NA,NA,1.38205233494051,NA
"cDC.like.Top100",NA,8.4194436036347,NA,NA,NA,NA,4.06167652949641,NA,NA,NA,NA
"LSPC.Primed.Top100",NA,8.07724096636916,NA,6.16037397980124,NA,NA,1.56299768866824,NA,NA,NA,NA
"GMP.like.Top250",NA,11.8400948643723,NA,NA,NA,NA,NA,4.60803200203844,NA,NA,NA
"LSC104_Ng2017_DOWN",NA,4.99417088720358,NA,1.48458677391006,NA,6.77873597415234,2.60945026928092,NA,1.55500249613535,NA,NA
"LSPC.Cycle.Top100",NA,5.13100044200583,NA,NA,4.69777896142674,NA,NA,NA,NA,NA,NA
"MLL_LSC_Somervaille2009_Up",NA,7.40193211445139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSPC.Quiescent",NA,5.73922160570712,NA,1.65696499674718,NA,NA,NA,NA,2.7541675562173,NA,NA
"GMP.like.Top100",NA,2.3509488693385,NA,NA,NA,NA,NA,5.26266862852994,NA,NA,NA
"Mono4",NA,NA,NA,NA,1.70545282637412,NA,2.28775484500039,2.12474253346962,NA,NA,NA
"MLL_LSC_Somervaille2009_Down",NA,1.94961556113817,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSPC.Cycle.Top250",NA,14.3327786684476,NA,NA,26.3556137957178,NA,NA,NA,NA,NA,1.86607866923505
"LSPC.Primed.Top250",NA,21.10577327345,NA,16.0050581408907,1.70545282637412,NA,2.69154810810301,NA,1.4730816772603,NA,NA
"Mono1",NA,23.8461390782016,NA,NA,NA,10.0283415233121,2.89948076815695,NA,NA,NA,NA
"Mono.like.Top250",2.34250943673069,30,NA,NA,NA,3.32481194033751,NA,NA,NA,2.69458746704611,NA
"Mono.like.Top100",1.82785827380602,26.7293034743066,NA,NA,NA,NA,NA,NA,NA,1.60020572955578,NA
